"부채보유 여부별","소득5분위별","자산5분위별","자산, 부채, 소득 분류별",2023,2024,2025
"전체","소득5분위","자산3분위","가구분포 (%)",2.5,2.6,2.4
"전체","소득5분위","자산3분위","가구원수 (명)",3.4,3.4,3.3
"전체","소득5분위","자산3분위","가구주 연령 (세)",49.8,49.6,50.2
"전체","소득5분위","자산3분위","경상소득(전년도) (만원)",12496,12948,13706
"전체","소득5분위","자산3분위","자산 (만원)",31911,32312,32389
"전체","소득5분위","자산3분위","부채 (만원)",6137,6477,6670
"전체","소득5분위","자산3분위","원리금상환액(전년도) (만원)",1713,1766,1625
"전체","소득5분위","자산3분위","순자산액 (만원)",25774,25835,25720
"전체","소득5분위","자산4분위","가구분포 (%)",5.9,5.7,5.7
"전체","소득5분위","자산4분위","가구원수 (명)",3.5,3.4,3.4
"전체","소득5분위","자산4분위","가구주 연령 (세)",49.5,49.8,49.5
"전체","소득5분위","자산4분위","경상소득(전년도) (만원)",14023,14230,15035
"전체","소득5분위","자산4분위","자산 (만원)",58613,59222,61564
"전체","소득5분위","자산4분위","부채 (만원)",11990,11153,11879
"전체","소득5분위","자산4분위","원리금상환액(전년도) (만원)",2382,2415,2048
"전체","소득5분위","자산4분위","순자산액 (만원)",46623,48069,49685
"전체","소득5분위","자산5분위","가구분포 (%)",10.6,10.9,11.0
"전체","소득5분위","자산5분위","가구원수 (명)",3.4,3.4,3.3
"전체","소득5분위","자산5분위","가구주 연령 (세)",52.8,53.5,54.0
"전체","소득5분위","자산5분위","경상소득(전년도) (만원)",17557,18982,19597
"전체","소득5분위","자산5분위","자산 (만원)",180583,187487,202668
"전체","소득5분위","자산5분위","부채 (만원)",30567,29993,32574
"전체","소득5분위","자산5분위","원리금상환액(전년도) (만원)",3373,2935,3494
"전체","소득5분위","자산5분위","순자산액 (만원)",150017,157494,170094
"부채 보유","전체","전체","가구분포 (%)",62.1,60.7,58.9
"부채 보유","전체","전체","가구원수 (명)",2.7,2.6,2.6
"부채 보유","전체","전체","가구주 연령 (세)",51.7,51.7,52.1
"부채 보유","전체","전체","경상소득(전년도) (만원)",7827,8319,8644
"부채 보유","전체","전체","자산 (만원)",64192,67369,71970
"부채 보유","전체","전체","부채 (만원)",14804,15043,16181
"부채 보유","전체","전체","원리금상환액(전년도) (만원)",1846,1895,2021
"부채 보유","전체","전체","순자산액 (만원)",49387,52326,55788
"부채 보유","전체","자산1분위","가구분포 (%)",7.7,7.3,6.9
"부채 보유","전체","자산1분위","가구원수 (명)",1.9,1.8,1.7
"부채 보유","전체","자산1분위","가구주 연령 (세)",50.6,50.0,50.3
"부채 보유","전체","자산1분위","경상소득(전년도) (만원)",3584,3790,3786
"부채 보유","전체","자산1분위","자산 (만원)",3087,2985,2937
"부채 보유","전체","자산1분위","부채 (만원)",2551,2580,2406
"부채 보유","전체","자산1분위","원리금상환액(전년도) (만원)",729,799,752
"부채 보유","전체","자산1분위","순자산액 (만원)",536,405,531
"부채 보유","전체","자산2분위","가구분포 (%)",11.1,10.5,10.0
"부채 보유","전체","자산2분위","가구원수 (명)",2.3,2.2,2.1
"부채 보유","전체","자산2분위","가구주 연령 (세)",49.4,49.5,49.8
"부채 보유","전체","자산2분위","경상소득(전년도) (만원)",5100,5182,5385
"부채 보유","전체","자산2분위","자산 (만원)",14597,14862,14448
"부채 보유","전체","자산2분위","부채 (만원)",5145,5330,5150
"부채 보유","전체","자산2분위","원리금상환액(전년도) (만원)",1139,1210,1138
"부채 보유","전체","자산2분위","순자산액 (만원)",9452,9532,9299
"부채 보유","전체","자산3분위","가구분포 (%)",13.2,13.1,12.7
"부채 보유","전체","자산3분위","가구원수 (명)",2.7,2.6,2.6
"부채 보유","전체","자산3분위","가구주 연령 (세)",50.5,49.7,50.9
"부채 보유","전체","자산3분위","경상소득(전년도) (만원)",6526,6911,7056
"부채 보유","전체","자산3분위","자산 (만원)",30712,30970,30848
"부채 보유","전체","자산3분위","부채 (만원)",8846,9069,9073
"부채 보유","전체","자산3분위","원리금상환액(전년도) (만원)",1517,1511,1552
"부채 보유","전체","자산3분위","순자산액 (만원)",21866,21901,21775
"부채 보유","전체","자산4분위","가구분포 (%)",14.5,14.3,13.9
"부채 보유","전체","자산4분위","가구원수 (명)",3.0,2.9,2.9
"부채 보유","전체","자산4분위","가구주 연령 (세)",51.3,51.4,51.5
"부채 보유","전체","자산4분위","경상소득(전년도) (만원)",8634,8728,9078
"부채 보유","전체","자산4분위","자산 (만원)",57000,56969,58594
"부채 보유","전체","자산4분위","부채 (만원)",14184,14357,15258
"부채 보유","전체","자산4분위","원리금상환액(전년도) (만원)",2206,2148,2181
"부채 보유","전체","자산4분위","순자산액 (만원)",42816,42612,43337
"부채 보유","전체","자산5분위","가구분포 (%)",15.6,15.6,15.3
"부채 보유","전체","자산5분위","가구원수 (명)",3.1,3.1,3.0
"부채 보유","전체","자산5분위","가구주 연령 (세)",55.3,55.9,56.0
"부채 보유","전체","자산5분위","경상소득(전년도) (만원)",12229,13344,13885
"부채 보유","전체","자산5분위","자산 (만원)",164946,172784,186894
"부채 보유","전체","자산5분위","부채 (만원)",33400,33028,36327
"부채 보유","전체","자산5분위","원리금상환액(전년도) (만원)",2849,2957,3412
"부채 보유","전체","자산5분위","순자산액 (만원)",131547,139756,150567
"부채 보유","소득1분위","전체","가구분포 (%)",6.2,6.2,5.9
"부채 보유","소득1분위","전체","가구원수 (명)",1.5,1.4,1.3
"부채 보유","소득1분위","전체","가구주 연령 (세)",58.8,59.0,58.6
"부채 보유","소득1분위","전체","경상소득(전년도) (만원)",1539,1669,1678
"부채 보유","소득1분위","전체","자산 (만원)",25883,26134,23934
"부채 보유","소득1분위","전체","부채 (만원)",6430,6365,5653
"부채 보유","소득1분위","전체","원리금상환액(전년도) (만원)",632,751,653
"부채 보유","소득1분위","전체","순자산액 (만원)",19453,19769,18282
"부채 보유","소득1분위","자산1분위","가구분포 (%)",2.5,2.4,2.4
"부채 보유","소득1분위","자산1분위","가구원수 (명)",1.3,1.2,1.2
"부채 보유","소득1분위","자산1분위","가구주 연령 (세)",54.9,54.7,55.3
"부채 보유","소득1분위","자산1분위","경상소득(전년도) (만원)",1475,1569,1665
"부채 보유","소득1분위","자산1분위","자산 (만원)",2392,2239,2346
"부채 보유","소득1분위","자산1분위","부채 (만원)",2451,2289,2178
"부채 보유","소득1분위","자산1분위","원리금상환액(전년도) (만원)",396,599,408
"부채 보유","소득1분위","자산1분위","순자산액 (만원)",-59,-50,168
"부채 보유","소득1분위","자산2분위","가구분포 (%)",1.4,1.7,1.6
